Place,Contestant,4-MB,4-ET,5-TCPT,6-MB,6-ET,7-TCPT,8-MB,8-ET,9-TCPT,10-MB,10-ET,11-I,11-PT,12-SF,12-SF,13-F
1,Whitney Miller,WIN,IN,PT,HIGH,IN,PT,IN,LOW,WIN,HIGH,WIN,LOW,WIN,IMM,WIN,WINNER
2,David Miller,IN,IN,PT,IN,IN,WIN,IN,IN,WIN,IN,IN,WIN,IMM,WIN,IMM,RUNNER-UP
3,Lee Knaz,IN,IN,WIN,IN,IN,PT,WIN,WIN,LOW C,IN,LOW,HIGH,IMM,IMM,ELIM,
4,Sheetal Bhagat,IN,IN,WIN,IN,IN,WIN,HIGH,LOW,WIN,WIN,LOW,IN,IMM,ELIM,,
5,Sharone Hakman,IN,IN,PT,WIN,IMM,WIN C,HIGH,IN,WIN C,HIGH,IN,LOW,ELIM,,,
6,Mike Kim,IN,WIN,WIN,IN,LOW,WIN,IN,IN,PT,IN,ELIM,,,,,
7,Jake Gandolfo,HIGH,IN,WIN,HIGH,WIN,PT C,IN,IN,ELIM,,,,,,,
7,Tracy Nailor,IN,IN,WIN,IN,IN,PT,IN,LOW,ELIM,,,,,,,
9,"Kim Dung ""Slim"" Huynh",IN,IN,PT,IN,LOW,WIN,IN,ELIM,,,,,,,,
10,"Anthony ""Tony"" Carbone",IN,IN,WIN,IN,IN,ELIM,,,,,,,,,,
11,Faruq Jenkins,IN,LOW,PT,IN,ELIM,,,,,,,,,,,
12,Jenna Hamiter,IN,IN,ELIM,,,,,,,,,,,,,
13,Avis White,IN,ELIM,,,,,,,,,,,,,,
13,Sheena Zadeh,HIGH,ELIM,,,,,,,,,,,,,,
