Place,Contestant,5-MB,5-ET,6-TCPT,7-MB,7-ET,8-TCPT,9-MB,9-ET,10-TCPT,11-MB,11-ET,12-TCPT,13-MB,13-ET,14-TCPT,15-MB,15-ET,16-TCPT,17-MB,17-ET,18-TCPT,19-MB,19-ET,20-F
1,Jennifer Behm,IN,IN,LOW,LOW,IN,WIN,WIN,IN,PT,WIN,LOW,WIN,IN,LOW,PT,WIN,IN,PT,HIGH,LOW,WIN,LOW,IN,WINNER
2,Adrien Nieto,IN,IN,WIN,WIN,IN,NPT,HIGH,LOW,WIN,IN,LOW,WIN,WIN,IN,PT,HIGH,IN,LOW,HIGH,LOW,WIN,WIN,WIN,RUNNER-UP
3,Christian Collins,WIN,IMM,PT,IN,IN,WIN,LOW,WIN,WIN,IN,IN,WIN,HIGH,WIN,PT,IN,IN,WIN,IN,LOW,PT,HIGH,ELIM,
4,Suzy Singh,HIGH,IN,WIN,IN,IN,WIN,IN,IN,LOW,IN,IN,PT,IN,LOW,WIN,HIGH,WIN,WIN,IN,WIN,ELIM,,,
5,Ben Starr,LOW,IN,WIN,IN,IN,NPT,IN,WIN,PT,IN,IN,PT,HIGH,IN,WIN,IN,LOW,WIN,WIN,ELIM,,,,
6,Tracy Kontos,IN,IN,PT,HIGH,WIN,WIN,IN,IN,PT,IN,WIN,WIN,IN,IN,WIN,IN,WIN,ELIM,,,,,,
7,Christine Corley,IN,IN,WIN,IN,IN,LOW,IN,IN,LOW,IN,IN,WIN,IN,WIN,WIN,IN,ELIM,,,,,,,
7,Derrick Prince,IN,WIN,WIN,IN,IN,NPT,IN,IN,WIN,HIGH,IN,LOW,IN,IN,PT,IN,ELIM,,,,,,,
9,Alejandra Schrader,IN,IN,PT,HIGH,IN,WIN,HIGH,LOW,WIN,HIGH,IN,LOW,IN,ELIM,,,,,,,,,,
10,Giuseppe Morisco,IN,IN,PT,IN,IN,WIN,IN,IN,WIN,IN,WIN,ELIM,,,,,,,,,,,,
11,Erryn Cobb,IN,LOW,WIN,IN,IN,WIN,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,
12,Esther Kang,IN,IN,LOW,IN,WIN,NPT,IN,IN,ELIM,,,,,,,,,,,,,,,
13,Jennie Kelley,HIGH,IN,WIN,IN,LOW,NPT,IN,ELIM,,,,,,,,,,,,,,,,
14,Max Kramer,IN,WIN,PT,IN,LOW,ELIM,,,,,,,,,,,,,,,,,,
15,Alvin Schultz,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,
16,Tony Scruggs,IN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,
17,Angel Moore-Soukkay,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,
17,Mark Raffaeli,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,
