Place,Contestant,4-MB,4-ET,5-TCPT,6-MB,6-ET,7-TCPT,8-TCPT,9-MB,9-ET,10-TCPT,11-MB,11-ET,12-TCPT,13-MB,13-ET,14-TCPT,15-MB,15-ET,16-TCPT,17-MB,17-TC,18-ET-Return,19-MB,19-ET,20-TCPT,21-MB,21-ET,22-OSC,22-PT,23-MBPT,24-MB,24-ET,25-F
1,Luca Manfè,IN,IN,WIN,WIN,IMM,LOW,PT,IN,IN,WIN,IN,LOW,NPT,IN,IN,PT,IN,IN,WIN,WIN,IMM,IMM,HIGH,IN,WIN,HIGH,WIN,WIN,IMM,WIN,LOW,IN,WINNER
2,Natasha Crnjac,WIN,IMM,WIN,IN,IN,LOW,WIN,IN,IN,NPT,IN,WIN,WIN,IN,IN,WIN,HIGH,WIN,WIN,HIGH,WIN,IMM,IN,WIN,WIN,IN,IN,IN,PT,WIN,LOW,WIN,RUNNER-UP
3,Jessie Lysiak,IN,WIN,WIN,IN,LOW,WIN,IMM,IN,WIN,WIN,HIGH,IN,NPT,IN,WIN,WIN,IN,IN,LOW,HIGH,LOW,IMM,IN,LOW,WIN,HIGH,HIGH,WIN,IMM,PT,WIN,ELIM,
4,Krissi Biasiello,HIGH,IN,PT,IN,IN,PT,IMM,IN,WIN,NPT,IN,LOW,IMM,IN,LOW,PT,HIGH,IN,NPT,IN,WIN,IMM,WIN,IMM,LOW,IN,IN,IN,PT,ELIM,,,
5,James Nelson,IN,IN,NPT,HIGH,IN,WIN,IMM,IN,IN,LOW,IN,WIN,NPT,IN,LOW,WIN,IN,LOW,WIN,IN,IN,IMM,IN,IN,PT,WIN,IMM,IN,ELIM,,,,
6,Bri Kozior,IN,IN,WIN,IN,IN,PT,IMM,IN,IN,WIN,IN,IN,IMM,WIN,IMM,LOW,IN,WIN,ELIM,,,RET,IN,WIN,ELIM,,,,,,,,
7,Jordan Roots,IN,WIN,NPT,IN,IN,NPT,IMM,HIGH,IN,PT,IN,IN,WIN,IN,IN,NPT,IN,LOW,PT,IN,IN,IMM,HIGH,ELIM,,,,,,,,,
8,Eddie Jackson,IN,IN,PT,IN,IN,WIN,IMM,WIN,IMM,WIN,IN,IN,WIN,HIGH,IN,WIN,WIN,IMM,WIN,IN,ELIM,,,,,,,,,,,,
9,Bethy Rossos,IN,IN,WIN,IN,WIN,WIN,IMM,IN,IN,LOW,IN,IN,WIN,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,,,
10,Savannah Sturges,IN,IMM,LOW,IN,IN,WIN,IMM,IN,IN,WIN,IN,IN,WIN,HIGH,IN,ELIM,,,,,,,,,,,,,,,,,
11,Lynn Chyi,IN,IN,WIN,IN,IN,WIN,IMM,IN,LOW,WIN,WIN,IMM,PT,IN,ELIM,,,,,,,,,,,,,,,,,,
12,Jonny Blanchard,IN,IN,LOW,IN,IN,WIN,IMM,IN,LOW,NPT,HIGH,IN,ELIM,,,,,,,,,,,,,,,,,,,,
13,Beth Kirby,IN,IN,WIN,HIGH,IN,LOW,WIN,IN,LOW,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,
14,Bime Cruz,HIGH,IN,WIN,IN,WIN,NPT,IMM,HIGH,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,
15,Howard Simpson,IN,LOW,NPT,LOW,IN,WIN,IMM,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,
16,Kathy Prieto,IN,IN,PT,IN,LOW,LOW,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Malcolm Green,IN,LOW,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Adriana Guillen,IN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sasha Foxx,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
