1,"""Auditions #1""","May 22, 2013","Day 1 of Auditions: The cooks who earn white aprons today include Natasha, Brian, Jordan, Adriana, and Krissi. Natasha, Bethy, Lynn, Jordan, and Krissi get all three yeses, while Adriana and Brian get two. Christine and George failed to progress."
2,"""Auditions #2""","May 22, 2013","Day 2 of Auditions: The white aprons that were handed out today belong to Jessie, Sasha, Bime, James, Eddie, and Luca. Sasha gets three yeses, while Bime, James, Eddie and Luca get two. Jessie only got one yes, but won an apron after winning a fish-filleting challenge proposed by Gordon."
3,"""Top 19 Revealed""","May 29, 2013","Audition 3 and Boot Camp: Howard and Jonny gain white aprons.
The remaining contestants are asked to prepare a meal in an hour using various cuts of lamb. With fifteen minutes left, Joe takes off some aprons due to many mistakes (Brian, James Dudd, and Gabriella). At the end of time, all but eight contestants are divided into two groups. One group is eliminated while the other group consisting of Adriana, Bethy, Bime, Eddie, Howard, James, Jessie, Jordan, Kathy, Krissi, Lynn, Natasha, Sasha and Savannah advance straight to the MasterChef kitchen. The remaining eight contestants will have their dishes tasted to decide who is advancing into the next stage. Malcolm and Seymira was the first pair called forward. Malcolm advanced over Seymira. The next pair to face the judges is Brian and Jonny. The judges advanced Jonny and sent Brian home. Nanci and Bri were up next. Bri was advanced by the judges. Lastly, the pair remaining is Beth and Luca. Gordon then announced that Beth will be the next home cook to advance, however, Gordon declared that Luca will also be going into the MasterChef kitchen, bringing the total of competitors to 19."
4,"""Top 19 Compete""","May 29, 2013","Mystery Box Challenge: The mystery box for this episode challenges the contestants to create a meal using simple ingredients. The top three dishes were Bime's, Natasha's, and Krissi's. Natasha emerges as the winner.
Challenge Winner/Immune: Natasha Crnjac
Elimination Test: The elimination test was to test how the contestants treat some of the world's most expensive, high-end ingredients. Natasha was given immunity from elimination, and she was given the advantage of picking the difficult ingredient with which her fellow competitors will have to cook, she picked langoustine. Her third advantage was that she could pick one other contestant to be safe from elimination. Natasha picked Savannah.
Immune: Savannah Sturges
Gordon announced that both Jordan and Jessie had the best dishes of this elimination challenge, and would become team captains in the first team challenge. Krissi, Lynn, Luca, and Kathy were judged to have done enough to move on.
Winners: Jessie Lysiak and Jordan Roots
Bottom three: Howard Simpson, Sasha Foxx and Malcolm Green
Eliminated: Sasha Foxx"
5,"""Top 18 Compete""","June 5, 2013","Team Challenge: For this team challenge, the contestants must feed over three hundred students at Emperor Elementary School. As Jessie and Jordan produced the best meals in the last test, they become team captains for this challenge. On her Red Team, Jessie picks Lynn, Bethy, Beth, Bime, Natasha, Bri, Luca and Malcolm. For the Blue Team, Jordan picks Savannah, James, Eddie, Jonny, Krissi, Adriana, Howard and Kathy. Each team is assigned to create a two-dish healthy meal. In the end, the Red Team scores 58% of the votes, making them the winners of the season's first team challenge.
Team Challenge Winners/Immune: Beth Kirby, Bethy Rossos, Bime Cruz, Bri Kozior, Jessie Lysiak, Luca Manfe, Lynn Chyi, Malcolm Green and Natasha Crnjac
Pressure Test: The Blue Team have to face the pressure test. This week, the judges test the contestants' baking abilities by having them create a delicious cheesecake in 1½ hours. Gordon reveals to Jordan that he could excuse any three of his team members, including himself, from the pressure test. Jordan saves Howard, James and himself.
Immune: Howard Simpson, James Nelson and Jordan Roots
Bottom three: Adriana Guillen, Jonny Blanchard and Savannah Sturges
Eliminated: Adriana Guillen"
6,"""Top 17 Compete""","June 5, 2013","Mystery Box Challenge: The judges reveal that they'd be cooking alongside Gordon Ramsay himself. The Mystery Box includes such typical Japanese ingredients. The top three dishes were James's, Beth's, and Luca's. The judges decided that Luca is the winner of this week's mystery box.
Challenge Winner/Immune: Luca Manfe
Elimination Test: Luca became safe from elimination and was given the option of choosing a classic American dessert for his competitors to make. Luca chose cupcakes, and after returning to the kitchen, he received another advantage: he was allowed to take away the mixer of one contestant, forcing that person to mix all ingredients by hand. He removed Jordan's mixer. The contestants were given 90 minutes to produce a box of twelve cupcakes. Bethy and Bime were deemed to have the best dishes and were made team captains in the next episode. Howard and Jordan were also judged to have good enough cupcakes to move on.
Winners: Bethy Rossos and Bime Cruz
Bottom three: Jessie Lysiak, Kathy Prieto and Malcolm Green
Eliminated: Malcolm Green"
7,"""Top 16 Compete, Part 1""","June 12, 2013","Team Challenge: Bethy and Bime are chosen to be team captains of this week's team challenge. This week's challenge for the teams is to prepare 101 New York strip steaks with a sauce and two sides of fresh produce for firemen. Bethy's Blue Team originally consists of Lynn, Jessie, James, Howard, Jonny, Savannah and Krissi; while Bime's Red Team has Jordan, Eddie, Luca, Natasha, Bri, Beth and Kathy. However, Bethy is given the opportunity to steal one of Bime's team members and give him one of her original picks. She steals Eddie and she relinquishes Krissi to Bime. The Blue gains 68 votes out of the 101 firemen, ensuring them safety from the pressure test.
Team Challenge Winners/Immune: Bethy Rossos, Eddie Jackson, Howard Simpson, James Nelson, Jessie Lysiak, Jonny Blanchard, Lynn Chyi and Savannah Sturges
Pressure Test: The Red Team must face the pressure test. This week, the judges test their ability to pull off a classic breakfast meal - eggs benedict. Since Bime was the team captain, the judges excuse him from participation. Bime is also allowed to excuse another team member, he picks Jordan.
Immune: Bime Cruz and Jordan Roots
Bottom four: Beth Kirby, Kathy Prieto, Luca Manfe and Natasha Crnjac
Eliminated: None"
8,"""Top 16 Compete, Part 2""","June 12, 2013","Continued Pressure Test: Las Vegas Round: Luca, Natasha, Kathy and Beth are brought to Las Vegas, Nevada, to compete in yet another pressure test to decide which of them will be sent home. For this pressure test, the contestants cook in Gordon Ramsay's restaurant, BurGR. The two teams are required to create a gourmet burger recipe and prep and cook them for dinner service. Each diner will receive a burger from each team. The teams consist of Beth and Natasha on the Blue Team with Beth as captain, and Luca and Kathy on the Red Team with Luca as captain. The dining judges are revealed to be the remaining contestants who are blind tasting the dishes. The Blue Team receives more votes, winning the second pressure test of the week. Luca and Kathy were left to compete in the last pressure test, a MasterChef cook-off.
Team Challenge Winners/Immune: Beth Kirby and Natasha Crnjac
Pressure Test: The judges bring Luca and Kathy to the top of Caesars Palace to produce a butter-poached lobster with a shaved fennel salad.
Eliminated: Kathy Prieto"
9,"""Top 15 Compete""","June 19, 2013","Mystery Box Challenge: The a mystery box features various ethnic foods from Russia, Spain, China and several others. In addition, the judges also refrain from telling the home chefs what exactly the ingredients of the mystery box are. The top three meals consist of Eddie's, Jordan's, and Bime's. Eddie's meal is deemed the best and he's given advantages in the next challenge.
Challenge Winner/Immune: Eddie Jackson
Elimination Test: The theme of this week's elimination test is pasta with a filling. Eddie's first advantage is that he is not required to cook and safe from elimination. His second advantage is to pick which of the stuffed pastas his fellow competitors would have to make. Eddie chooses agnolotti. The judges invite Joe's mom, Lidia Bastianich, to provide a live demonstration. Eddie's third advantage is that he can pick two contestants who would be forbidden to watch Lidia's demonstration. He picks Lynn and James for this. The judges awarded Krissi and Jessie with having the best meals, making them team captains in the next team challenge.
Winners: Jessie Lysiak and Krissi Biasiello
Bottom four: Beth Kirby, Howard Simpson, Jonny Blanchard and Lynn Chyi
Eliminated: Howard Simpson"
10,"""Top 14 Compete""","June 19, 2013","Team Challenge: For this week's team challenge, the contestants cook for the cast and crew of Glee at Paramount Studios with Krissi as the Blue Team captain and Jessie as the Red Team captain. Jane Lynch picked the teams based on ""beauty"" (Jessie) and the ""beast"" (Krissi). Jessie's ""beauty"" Red Team contains Savannah, Bri, Lynn, Beth, Luca and Eddie. Krissi's ""beast"" Blue Team is made up of James, Bime, Natasha, Jonny, Bethy and Jordan. They had to make three entrées and sides. The Glee cast members vote for their favorite. The Red Team won 90 of the 127 votes, sending the Blue Team to the pressure test.
Team Challenge Winners/Immune: Beth Kirby, Bri Kozior, Eddie Jackson, Jessie Lysiak, Luca Manfe, Lynn Chyi and Savannah Sturges
Pressure Test: Krissi had the choice to decide which of her teammates she will save, saving at least one person and no more than five people. She saved Jonny, Natasha and herself. The challenge had the contestants make a lemonless version of lemon meringue pie.
Immune: Jonny Blanchard, Krissi Biasiello and Natasha Crnjac
Bottom three: Bethy Rossos, Bime Cruz and James Nelson
Eliminated: Bime Cruz"
