Place,Contestant,4-MB,4-ET,5-TC,6-MB,6-ET,7-TC,8-MB,8-ET,9-TC,10-MB,10-ET,11-MB,11-ET,12-TC,13-MB,13-ET,14-SMB,15-MB,15-ET,16-TC,17-MB,17-ET,18-TC,19-MB,19-ET,20-F
1,Christine Hà,IN,IN,PT,HIGH,WIN,WIN,IN,IN,IN,IN,IN,IN,LOW,WIN,IN,LOW,IMM,HIGH,IN,WIN,HIGH,WIN,WIN,WIN,LOW,WINNER
2,Josh Marks,IN,IN,WIN,IN,WIN,PT,IN,IN,IN,IN,IN,HIGH,IN,ELIM,,,RET,IN,LOW,LOW,WIN,LOW,LOW,HIGH,WIN,RUNNER_UP
3,Becky Reams,IN,IN,WIN,HIGH,IN,WIN,HIGH,LOW,WIN,WIN,IN,IN,IN,LOW,HIGH,IN,IMM,HIGH,WIN,WIN,IN,LOW,WIN,LOW,ELIM,
4,Frank Mirando,IN,WIN,PT,IN,LOW,NPT,HIGH,IN,WIN,HIGH,IN,IN,WIN,WIN,WIN,IMM,IMM,IN,WIN,NPT,IN,HIGH,ELIM,,,
5,"Mairym ""Monti"" Carlo",IN,IN,WIN,IN,IN,NPT,IN,IN,PT,IN,WIN,IN,WIN,PT,IN,WIN,IMM,IN,IN,WIN,HIGH,ELIM,,,,
6,David Martinez,IN,WIN,WIN,IN,IN,NPT,IN,IN,PT,IN,LOW,IN,LOW,WIN,HIGH,IN,IMM,WIN,LOW,ELIM,,,,,,
7,Felix Fang,WIN,IMM,PT,IN,IN,WIN,IN,LOW,IN,IN,IN,WIN,IN,NPT,IN,WIN,IMM,IN,ELIM,,,,,,,
8,Stacey Amagrande,IN,IN,NPT,IN,IN,WIN,IN,WIN,WIN,IN,IN,HIGH,IN,WIN,IN,ELIM,,,,,,,,,,
9,Tali Clavijo,IN,LOW,PT,IN,LOW,LOW,IN,IN,WIN,IN,IN,IN,ELIM,,,,,,,,,,,,,
10,Mike Hill,IN,IN,WIN,IN,LOW,WIN,IN,IN,IN,HIGH,ELIM,,,,,,,,,,,,,,,
10,Tanya Noble,IN,IN,LOW,IN,IN,WIN,WIN,IMM,LOW,IN,ELIM,,,,,,,,,,,,,,,
12,Anna Rossi,IN,IN,WIN,IN,IN,PT,IN,IN,ELIM,,,,,,,,,,,,,,,,,
13,Scott Little,LOW,IN,LOW,IN,IN,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,
14,Ryan Umane,LOW,IN,WIN,WIN,IMM,ELIM,,,,,,,,,,,,,,,,,,,,
15,Helene Leeds,IN,LOW,WIN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,
16,Michael Chen,IN,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,
17,Dave Mack,IN,ELIM,,,,,,,,,,,,,,,,,,,,,,,,
18,Samantha De Silva,ELIM,,,,,,,,,,,,,,,,,,,,,,,,,
