1,"""Auditions #1""","June 4, 2012","Audition 1: The people that earned a white apron today include Michael, Monti, Scott, Tali, Ryan, Josh, Samantha, Becky, Helene, and Christine."
2,"""Auditions #2""","June 5, 2012","Audition 2: The people that earned a white apron today include Felix, Tanya, Mike, Anna, and Frank. Anna and AJ are the first husband and wife pair to advance."
3,"""Auditions #3/Top 36 Bootcamp""","June 11, 2012","Audition 3 and Top 36 Boot Camp: The auditions ended with Stacey and David gaining aprons. Afterwards, the top 36 contestants were tasked with cooking a ground beef dish. After inspection, the contestants were divided into three groups of twelve. The first group was eliminated, the second, consisting of Becky, Felix, Frank, Helene, Josh, Michael, Mike, Ryan, Samantha, Scott, Stacey, and Tali, advanced automatically. The third group: Anna, AJ, Bubba, Christine, Courtney, Dave, David, Monti, Nandini, Rami, Sheri, and Tanya, had their dishes tasted. The first group to be tasted were Anna, AJ, Dave and Tanya. Dave, Tanya and Anna advanced. The second group consisted of Bubba, Christine, Monti and Nandini. The judges advanced Monti and Christine. The last group consisted of Courtney, David, Rami and Sheri. After eliminating Courtney and Sheri, the judges gave David the last spot and eliminated Rami."
4,"""Top 18 Compete""","June 12, 2012","Mystery Box Challenge: The top eighteen had to cook items out of their Mystery Boxes. Ryan, Samantha, and Scott were called forward for having the worst dishes, with the judges announcing that they had revised the rules and anyone could be eliminated at any time during the competition.
Bottom three: Ryan Umane, Samantha De Silva and Scott Little
Scott was the first to be sent to safety, leaving Ryan and Samantha facing elimination. Samantha was eliminated. Felix was then declared the winner of the challenge.
Eliminated: Samantha De Silva
Challenger Winner/Immune: Felix Fang
Elimination Test: Felix got to choose the subject for the first Elimination Test, the theme being the dishes that intimidate the judges the most. Felix chose the risotto. Felix was also exempt from competing. David and Frank had the best two dishes, making them team captains for the first team challenge.
Winners: David Martinez and Frank Mirando
Bottom three: Dave Mack, Helene Leeds and Tali Clavijo
Eliminated: Dave Mack"
5,"""Top 16 Compete""","June 18, 2012","Team Challenge: The remaining sixteen contestants were tasked with feeding an army of two hundred and one Marines. David chose Becky, Josh, Mike, Helene, Ryan, Anna, and Monti for the Red Team, while Frank chose Felix, Scott, Stacey, Tali, Tanya and Michael, and was left with Christine for the Blue Team. Each Marine would vote for the entrée they preferred, and the team with the most votes would win the challenge. The Red Team won by sixteen votes.
Team Challenge Winners/Immune: Anna Rossi, Becky Reams, David Martinez, Helene Leeds, Josh Marks, Mike Hill, Monti Carlo and Ryan Umane
Pressure Test: Frank was allowed to exempt one Blue Team member from competing in the Pressure Test. After Felix and Scott both declined, he saved Stacey. The task was to bake an apple pie. Christine and Frank had the best pies. Felix and Tali also advanced.
Immune: Stacey Amagrande
Bottom three: Michael Chen, Scott Little and Tanya Noble
Eliminated: Michael Chen"
6,"""Top 15 Compete""","June 19, 2012","Mystery Box Challenge: The contestants each had to create a dish using offal. Becky, Ryan, and Christine were the top three. Ryan was the winner.
Challenge Winner/Immune: Ryan Umane
Elimination Test: Immune from the test, Ryan chose every other chef to cook crab. He was then allowed to decide who would be cooking live crab and who would be using canned crab. Ryan gave the live crab to Christine, David, Helene, Mike, Scott, Tali, and Tanya. Anna, Becky, Felix, Frank, Josh, Monti, and Stacey received the canned crab. The judges deemed Christine's and Josh's as the best two dishes, making the two team captains for the next Team Challenge.
Winners: Christine Hà and Josh Marks
Bottom four: Frank Mirando, Helene Leeds, Mike Hill and Tali Clavijo
Eliminated: Helene Leeds"
7,"""Top 14 Compete""","June 25, 2012","Team Challenge: The contestants had to cook breakfast for an entire hotel. Christine chose Felix, Scott, Tanya, Mike, Stacey, and Ryan for the Red Team. Josh chose Becky, Frank, Anna, Monti, David, and Tali for the Blue Team. The judges then told Christine that she could swap one member of her team for one from the Blue Team. Christine swapped Ryan in exchange for Becky. The teams had ninety minutes for prep and ninety minutes to serve. With 60% of the guest preference vote, the Red Team won the challenge.
Team Challenge Winners/Immune: Becky Reams, Christine Hà, Felix Fang, Mike Hill, Scott Little, Stacey Amagrande and Tanya Noble
Pressure Test: The judges rewarded David, Frank, and Monti by exempting them from the Pressure Test. Anna, Josh, Ryan, and Tali had to bake a molten lava cake, only having four chances to get it right. Anna and Josh advanced into the next stage of the competition.
Immune: David Martinez, Frank Mirando and Monti Carlo
Bottom two: Ryan Umane and Tali Clavijo
Eliminated: Ryan Umane"
8,"""Top 13 Compete""","June 26, 2012","Mystery Box Challenge: The contestants found a T-bone steak among other ingredients inside their mystery boxes. The best three dishes were Frank's, Tanya's, and Becky's. Tanya won.
Challenge Winner/Immune: Tanya Noble
Elimination Test: The theme was the judges' favorite desserts. Along with immunity, Tanya got to choose who made which dessert. Tanya gave Gordon's English trifle to Becky, Josh, Monti, and Stacey; Graham's strawberry shortcake to Christine, Mike, Scott, and Tali; and Joe's tiramisu to Anna, David, Felix, and Frank. Stacey had the best dessert, making her a team captain for the next challenge. The bottom three were Felix, Scott, and Becky, who had the worst tiramisu, strawberry shortcake, and trifle, respectively.
Winner: Stacey Amagrande
Bottom three: Becky Reams, Felix Fang and Scott Little
Eliminated: Scott Little"
9,"""Top 12 Compete""","July 2, 2012","Team Challenge: This challenge consisted of three teams - Red, Yellow, and Blue. Stacey was given the task of forming the teams. Stacey led the Red Team with Tali, Frank, and Becky. She then put Monti, David, Anna, and Tanya on the Yellow Team, leaving Christine, Felix, Josh, and Mike as the Blue Team by default. The Yellow Team elected Anna as their leader, and Josh volunteered to lead the Blue Team. The teams' task was to each operate a food truck at Venice Beach, with the Red Team selling Mexican cuisine, the Yellow Team selling American cuisine, and the Blue Team selling Indian cuisine. All profits made would go to charity. The Red Team won the challenge with $798 in sales, and the Blue Team claimed second place with $756, leaving the Yellow Team to face the Pressure Test after earning only $602.
Team Challenge Winners/Immune: Becky Reams, Frank Mirando, Stacey Amagrande and Tali Clavijo
Immune: Christine Hà, Felix Fang, Josh Marks and Mike Hill
Pressure Test: The task was to make tortellinis from scratch. David had the best tortellinis. Monti also advanced.
Bottom two: Anna Rossi and Tanya Noble
Eliminated: Anna Rossi"
10,"""Top 11 Compete""","July 3, 2012","Mystery Box Challenge: The contestants were tasked with cooking with ingredients including a rabbit leg and forbidden rice. The best three dishes were Frank's, Mike's, and Becky's. Becky was the winner.
Challenge Winner: Becky Reams
Elimination Test: Becky was able to choose which piece of equipment she would use to cook her dish and what her competitors would work with. Becky chose the deep fryer for herself and the pizza stone for the rest of the contestants. Monti won the challenge.
Winner: Monti Carlo
Bottom three: David Martinez, Mike Hill and Tanya Noble
Eliminated: Mike Hill and Tanya Noble"
