Jennifer Behm,34,"Wilmington, Delaware",Realtor,Winner August 16
Adrien Nieto,28,"Ventura, California",Server,Runner-Up August 16
Christian Collins,31,"Gloucester, Massachusetts",Stay-at-home dad,Eliminated August 16
Suzy Singh,27,"Chicago, Illinois",Neural Engineer,Eliminated August 15
Ben Starr,33,"Dallas, Texas",Travel Writer,Eliminated August 9
Tracy Kontos,32,"Coral Springs, Florida",Sales Consultant,Eliminated August 8
Derrick Prince,33,"West Babylon, New York",Web Designer/Blogger,Eliminated August 2
Christine Corley,27,"Sopchoppy, Florida",Single Mom,Eliminated August 2
Alejandra Schrader,37,"Playa del Rey, California",Architect/Urban Planner,Eliminated July 26
Giuseppe Morisco,38,"Chicago, Illinois",Granite Salesman,Eliminated July 19
Erryn Cobb,26,"Chicago, Illinois",Public Relations,Eliminated July 18
Esther Kang,28,"Los Angeles, California",Lawyer,Eliminated July 11
Jennie Kelley,37,"Dallas, Texas",Musician,Eliminated July 5
Max Kramer,18,"New York, New York",College Student,Eliminated June 28
Alvin Schultz,28,"Houston, Texas",Retail Manager,Eliminated June 27
Tony Scruggs,52,"Grant Park, Illinois",Trucker,Eliminated June 21
Angel Moore-Soukkay,37,"Columbus, Ohio",Property Manager,Eliminated June 20
Mark Raffaeli,35,"Chicago, Illinois",Realtor,Eliminated June 20
