1,"""Audition #1""","June 6, 2011","Audition 1: The people that earned a white apron today include Jennifer, Albert, Monica, Erryn, Kayla, Elin, Tracy, Angel, Pauline and Christian."
2,"""Audition #2""","June 7, 2011","Audition 2: The people that earned a white apron today include Dustin, Christine, Derrick, Esther, Alvin, Kyle, Tony and Alejandra."
3,"""Audition #3/Top 38 Revealed""","June 13, 2011","Audition 3: The people that earned a white apron today include Suzy, Max, Giuseppe, Adrien, Joseph, and Ben."
4,"""Top 18 Revealed""","June 14, 2011","Skills Challenge: The 38 contestants must demonstrate their knife work by creating perfectly even slices of green apple. They must continue slicing until stopped by one of the judges, when they find out if they are going through or going home. Twenty-four contestants remained after this round.
Invention Test: The remaining contestants must prepare a meal using chicken. Kyle, Aaron, Rhonda, Joey, Albert and Seby failed. The other 18 made the grade."
5,"""2 Eliminated / Top 16 Revealed""","June 20, 2011","Mystery Box Challenge: The contestants had to prepare a dish using only the Mystery Box ingredients. Ben's dish earned him last place in the challenge. Suzy, Christian, and Jennie had the best dishes. Christian won the challenge. His prize was to choose the style of food that everyone would cook for the elimination challenge.
Challenge Winner/Immune: Christian Collins
Elimination Test: The theme for this challenge was the cuisine of Europe. Christian chose French cuisine and also received safety from elimination and the others had one hour to make their French dish. Derrick and Max had the best dishes and would become team captains in the next challenge. Giuseppe, Suzy, Alejandra, Jennie, and Christine are judged to have done enough to move on.
Winners: Derrick Prince and Max Kramer
Bottom three: Angel Moore-Soukkay, Erryn Cobb and Mark Raffaeli
Eliminated: Angel Moore-Soukkay and Mark Raffaeli"
6,"""Top 16 Compete""","June 21, 2011","Team Challenge: The contestants were split into two teams: the Red Team consisting of Derrick, Ben, Adrien, Erryn, Jennie, Suzy, Christine, and Alvin; and the Blue Team consisting of Max, Jennifer, Giuseppe, Esther, Tony, Alejandra, Christian and Tracy . The teams had to create a five-course meal for 350 office workers in the building. The service had to consist of soup, a salad, pizza, a special entrée and dessert. At the end of service, each diner would vote for their favorite dish. The Red Team wins and send the Blue Team to the first Pressure Test of the season.
Team Challenge Winners/Immune: Adrien Nieto, Alvin Schultz, Ben Starr, Christine Corley, Derrick Prince, Erryn Cobb, Jennie Kelley and Suzy Singh
Pressure Test: The Blue Team members had to an hour to cook ravioli from scratch. Alejandra, Max, Tracy, Giuseppe and Christian were the first five to be sent to safety for producing good enough raviolis.
Bottom three: Esther Kang, Jennifer Behm and Tony Scruggs
Eliminated: Tony Scruggs"
7,"""Top 15 Compete""","June 27, 2011","Mystery Box Challenge: The contestants had to prepare a dish using only the Mystery Box ingredients. Alejandra, Adrien and Tracy landed in the top three. Adrien won and got the opportunity to choose the theme for himself, and then everyone else in the elimination challenge.
Challenge Winner: Adrien Nieto
Elimination Test: The theme for the challenge was dessert. He chose nuts for himself and coffee for everyone else to use. The contestants had 90 minutes to prepare a dessert. Tracy and Esther were declared the top two and became team captains for the next challenge. Adrien, Christine, Alejandra, Suzy, and Jennifer's desserts are deemed good enough to move on.
Winners: Esther Kang and Tracy Kontos
Bottom three: Alvin Schultz, Jennie Kelley and Max Kramer
Eliminated: Alvin Schultz"
8,"""Top 14 Compete""","June 28, 2011","Team Challenge: The contestants were split into two teams: the Blue Team consisting of Tracy, Suzy, Giuseppe, Christian, Jennifer, Erryn, and Alejandra, and the Red Team consisting of Esther, Max, Ben, Christine, Jennie, Derrick, and Adrien. They were given 90 minutes to prepare sausage sandwiches for 101 bikers who would vote on which one was the best. The Blue Team received 51 votes first for the win, sending the Red Team to the Pressure Test.
Team Challenge Winners/Immune: Alejandra Schrader, Christian Collins, Erryn Cobb, Giuseppe Morisco, Jennifer Behm, Suzy Singh and Tracy Kontos
Pressure Test: Chef Ramsay announced that only two chefs would compete in the pressure test. He asked Esther to choose the two chefs most responsible for the loss to which she said Max and Christine. In the Pressure Test, Max and Christine were given three filets of steak to cook rare, medium, and well done.
Immune: Adrien Nieto, Ben Starr, Derrick Prince, Esther Kang and Jennie Kelley
Bottom two: Christine Corley and Max Kramer
Eliminated: Max Kramer"
9,"""Top 13 Compete""","July 5, 2011","Mystery Box Challenge: The Mystery Box contained items used to create a vegetarian entrée. Jennifer, Adrien and Alejandra landed in the top three, and Jennifer won the challenge.
Challenge Winner: Jennifer Behm
Elimination Test: Jennifer was given three dishes cooked by last year's MasterChef winner Whitney Miller to choose from for everybody to cook. She chose a catfish dish. The contestants had to recreate the dish with no recipe while Jennifer was given a basket of all ingredients needed to cook the dish. Christian and Ben were declared the best and became captains in the next team challenge.
Winners: Ben Starr and Christian Collins
Bottom three: Adrien Nieto, Alejandra Schrader and Jennie Kelley
Eliminated: Jennie Kelley"
10,"""Top 12 Compete""","July 11, 2011","Team Challenge: The contestants arrived at Gordon Ramsay's restaurant at the London West Hollywood hotel, where they were split up into teams by captains Christian and Ben. Ben's Blue Team consisted of Jennifer, Tracy, Esther, Suzy, and Christine, while Christian's Red Team consisted of Derrick, Adrien, Alejandra, Giuseppe, and Erryn. The teams were responsible for catering a Hollywood party and prepared hors d'oeuvres for all the guests. The winners would be decided per course by guests' votes. The Red Team took the starter with 64% of the votes, the Blue Team had a comeback on the entrée with a clean sweep of 100% of the votes, and the Red Team took the dessert course and the challenge with 53% of the vote, with the Blue Team up for the Pressure Test.
Team Challenge Winners/Immune: Adrien Nieto, Alejandra Schrader, Christian Collins, Derrick Prince, Erryn Cobb and Giuseppe Morisco
Pressure Test: Everyone on the Blue Team was given two hours to make a cake with a minimum of 6 layers. Ben's and Jennifer's were deemed the best, and Tracy's chiffon cake was also deemed delicious.
Bottom three: Christine Corley, Esther Kang and Suzy Singh
Eliminated: Esther Kang"
